,정류장_ID,정류장_명칭,정류장_유형,정류장_번호,위도,경도,sgg_oid,jibun,pnu,ADM_DR_CD,ADM_DR_NM,geometry,x,y
0,274000018,잠실대교북단(경유),일반차로,78449,127.088565,37.528817,96951,753-3도,1121510500107530003,1105065,자양2동,POINT (963647.1288243234 1947802.8740342655),963647.1288243234,1947802.8740342655
1,277102301,잠실대교북단(경유),일반차로,78353,127.090492,37.529313,96289,701제,1121510500107010000,1105065,자양2동,POINT (963817.6317456564 1947857.1591678106),963817.6317456564,1947857.1591678106
2,274000019,잠실대교북단(경유),일반차로,78450,127.090479,37.529354,96289,701제,1121510500107010000,1105065,자양2동,POINT (963816.5029218596 1947861.7128701974),963816.5029218596,1947861.7128701974
3,104900116,행운슈퍼앞,마을버스,5572,127.08701,37.53295,94599,682-15대,1121510500106820015,1105065,자양2동,POINT (963511.7476431297 1948262.0076330916),963511.7476431297,1948262.0076330916
4,104900114,성자초등학교앞,마을버스,5562,127.082256,37.5313,95777,652-31대,1121510500106520031,1105065,자양2동,POINT (963090.9099659453 1948080.805095238),963090.9099659453,1948080.805095238
5,104900112,국민은행자양지점,마을버스,5551,127.079239,37.531986,95337,606-10대,1121510500106060010,1105065,자양2동,POINT (962824.687099475 1948158.100967083),962824.687099475,1948158.100967083
6,104900107,한창주택,마을버스,5588,127.089119,37.533715,94142,724-3도,1121510500107240003,1105065,자양2동,POINT (963698.4524209811 1948346.063636316),963698.4524209811,1948346.063636316
7,104900106,한창주택,마을버스,5576,127.089136,37.533614,94178,694대,1121510500106940000,1105065,자양2동,POINT (963699.9054324767 1948334.8517285169),963699.9054324767,1948334.8517285169
8,104900019,구의역4번출구,마을버스,5580,127.084837,37.536654,92569,216-10대,1121510500102160010,1105065,자양2동,POINT (963321.5732721094 1948673.7897189124),963321.5732721094,1948673.7897189124
9,104900016,행운슈퍼앞,마을버스,5589,127.087046,37.53307,94159,723 도,1121510500107230000,1105065,자양2동,POINT (963514.986766646 1948275.3069479773),963514.986766646,1948275.3069479773
10,104000291,동서울우편집중국앞,일반차로,5192,127.084408,37.535282,93237,680-68대,1121510500106800068,1105065,자양2동,POINT (963282.9995279276 1948521.7418554302),963282.9995279276,1948521.7418554302
11,104000106,구의역3번출구,일반차로,5199,127.088289,37.537519,92032,781-3대,1121510500107810003,1105065,자양2동,POINT (963626.9688201183 1948768.4155404454),963626.9688201183,1948768.4155404454
12,104000101,자양동잠실대교북단,일반차로,5194,127.085851,37.53212,95076,732-3도,1121510500107320003,1105065,자양2동,POINT (963408.9423843691 1948170.3744084113),963408.9423843691,1948170.3744084113
13,104000100,자양아파트앞,일반차로,5193,127.084673,37.531973,95341,679-16대,1121510500106790016,1105065,자양2동,POINT (963304.7907634375 1948154.5246144086),963304.7907634375,1948154.5246144086
14,104000098,국민은행자양지점앞,일반차로,5191,127.080739,37.531531,95617,636-5대,1121510500106360005,1105065,자양2동,POINT (962956.991528848 1948107.0295779295),962956.991528848,1948107.0295779295
15,104000097,자양미소약국.자양골목시장,일반차로,5190,127.076871,37.5327,94782,608-7대,1121510500106080007,1105065,자양2동,POINT (962615.8236328807 1948238.253667766),962615.8236328807,1948238.253667766
16,104000096,신자초등학교앞,일반차로,5189,127.075013,37.530369,96414,591학,1121510500105910000,1105065,자양2동,POINT (962450.4967491366 1947980.383322937),962450.4967491366,1947980.383322937
