연번,행정동,형태,경로당명,전화번호,주소,회원수(남),회원수(여),회원수(총원),경로당설립일
1,중곡1동,구립,중곡1동 제1,02-467-0014,"서울특별시 광진구 긴고랑로5길 10(중곡동, 중곡1동 제1경로당)",7,30,37,1994-06-01
2,중곡1동,구립,중곡1동 제2,02-465-2104,"서울특별시 광진구 긴고랑로8길 51(중곡동, 중곡1동 제2경로당)",22,14,36,2003-09-01
3,중곡2동,구립,한마음,02-444-0652,"서울특별시 광진구 긴고랑로22길 39-4(중곡동, 한마음경로당)",9,23,32,1989-06-01
4,중곡2동,구립,장수,02-454-3811,"서울특별시 광진구 긴고랑로31길 44(중곡동, 장수경로당)",0,22,22,2006-11-01
5,중곡3동,구립,용마,02-466-1020,"서울특별시 광진구 용마산로31길 38-8 (중곡동, 용마경로당)",5,30,35,1989-06-01
6,중곡3동,구립,중곡3동,02-466-5977,"서울특별시 광진구 동일로80길 20 (중곡동, 중곡3동 경로당)",19,41,60,1998-08-01
7,중곡4동,구립,중곡4동,02-457-3073,"서울특별시 광진구 긴고랑로39길 57 (중곡동, 중곡4동 경로당)",4,16,20,1994-05-01
8,중곡4동,구립,용곡,02-455-8192,"서울특별시 광진구 용마산28길 31 (중곡동, 용곡경로당)",9,16,25,1995-02-01
9,중곡4동,구립,대원,02-457-9203,"서울특별시 광진구 긴고랑로36길 57-27 (중곡동, 대원경로당)",6,45,51,1998-02-01
10,중곡4동,사립,신향빌라,02-3437-1334,"서울특별시 광진구 용마산로24길 13 (중곡동, 신향빌라 경로당)",0,16,16,1995-05-01
11,능동,구립,능동,02-452-2728,"서울특별시 광진구 천호대로112길 70 (능동, 능동경로당)",18,30,48,1989-06-01
12,구의1동,구립,구의,02-446-9039,"서울특별시 광진구 광나루로40길 6 (구의동, 구의경로당)",36,11,47,1989-06-01
13,구의1동,구립,명성,02-446-9481,"서울특별시 광진구 자양로26길 20-5 (구의동, 명성경로당)",30,16,46,2003-08-01
14,구의1동,구립,구의1동제2,02-3437-3470,"서울특별시 광진구 광나루로30가길 27 (구의동, 구의1동 제2경로당)",26,37,63,1998-11-01
15,구의1동,사립,구의새한,02-456-9109  ,"서울특별시 광진구 자양로26길 71 (구의동, 새한아파트 경로당)",8,16,24,2001-02-01
16,구의2동,구립,아차산,02-453-1599,"서울특별시 광진구 자양로47길 9-4 (구의동, 아차산경로당)",21,17,38,1994-05-01
17,구의2동,구립,소능,02-457-8271,"서울특별시 광진구 자양로37길 85 (구의동, 소능경로당)",14,28,42,1999-01-01
18,구의2동,구립,구의2동,02-453-2221,"서울특별시 광진구 자양로38길 17-5 (구의동, 구의2동 경로당)",4,37,41,1994-05-01
19,구의2동,사립,래미안파크스위트,,"서울특별시 광진구 광나루로 545(구의동, 래미안파크스위트아파트 경로당)",8,44,52,2019-07-01
20,구의3동,구립,구의새마을,02-455-7495,"서울특별시 광진구 구의강변로3길 39 (구의동, 구의새마을 경로당)",3,25,28,1994-07-01
21,구의3동,구립,산의마을,02-454-0467,"서울특별시 광진구 아차산로63길 21 (구의동, 산의마을 경로당)",23,14,37,2003-09-01
22,구의3동,사립,강변우성,02-458-0451,"서울특별시 광진구 구의강변로42 (구의동, 강변우성아파트 경로당)",5,20,25,1994-10-01
23,구의3동,사립,구의현대2차,02-456-9694,"서울특별시 광진구 광나루로56길 32 (구의동, 현대2차아파트 경로당)",0,15,15,1994-07-01
24,구의3동,사립,구의현대6차,02-455-6949,"서울특별시 광진구 구의강변로94 (구의동, 현대6차아파트 경로당)",3,20,23,1995-02-01
25,구의3동,사립,구의현대7차,02-446-0078,서울특별시 광진구 구의강변로3가길 39 (구의동 현대7차아파트 경로당),17,23,40,1998-06-01
26,구의3동,사립,구의현대프라임,02-453-8071,"서울특별시 광진구 광나루로56길 29 (구의동, 현대프라임아파트 경로당)",18,30,48,1998-01-01
27,구의3동,사립,세양,02-3437-7889,"서울특별시 광진구 구의강변로84 (구의동, 세양아파트 경로당)",10,15,25,2004-04-01
28,구의3동,사립,구의대림아크로리버,02-457-4885,"서울특별시 광진구 구의강변로 64 (구의동, 구의대림아크로리버경로당)",6,14,20,2017-05-01
29,광장동,구립,국가유공자,02-444-5137,"서울특별시 광진구 아차산로 630, 2층(광장동, 보훈회관)",52,0,52,1992-07-01
30,광장동,구립,광장,02-454-8532,"서울특별시 광진구 아차산로73길 15 (광장동, 광장제1경로당)",0,51,51,1990-08-01
31,광장동,구립,광장제2,02-452-0970,"서울특별시 광진구 아차산로78길 67 (광장동, 광장제2경로당)",29,0,29,2001-09-01
32,광장동,사립,광나루현대,02-3437-7308,"서울특별시 광진구 아차산로76길 31 (광장동, 광나루현대아파트 경로당)",7,13,20,1996-09-01
33,광장동,사립,광장극동1차,02-452-4977,"서울특별시 광진구 아차산로 552 (광장동, 극동1차아파트 경로당)",0,20,20,2002-02-01
34,광장동,사립,광장극동2차,02-447-5549,"서울특별시 광진구 아차산로 552 (광장동, 극동2차아파트 경로당)",0,21,21,1989-06-01
35,광장동,사립,광장현대3차,02-458-6616,"서울특별시 광진구 아차산로70길 62 (광장동, 현대3차아파트 경로당)",15,20,35,1991-08-01
36,광장동,사립,광장현대5차,02-456-4586,"서울특별시 광진구 아차산로70길 61 (광장동, 광장현대5차아파트 경로당)",6,19,25,1990-03-01
37,광장동,사립,광장현대8차,02-458-3224,"서울특별시 광진구 아차산로 522 (광장동, 현대8차아파트 경로당)",5,19,24,1995-08-01
