,x_index,y_index,격자 당 경로당 수,geometry,행정동
0,0,22,0,"POLYGON ((127.0561797939232 37.53325271346528, 127.05844342803611 37.533261198931434, 127.0584540556277 37.5314585291627, 127.05619047599266 37.53145004424569, 127.0561797939232 37.53325271346528))",자양4동
1,0,23,0,"POLYGON ((127.05619047599266 37.53145004424569, 127.0584540556277 37.5314585291627, 127.0584646822725 37.52965585883974, 127.05620115711046 37.52964737447184, 127.05619047599266 37.53145004424569))",자양4동
2,0,24,0,"POLYGON ((127.05620115711046 37.52964737447184, 127.0584646822725 37.52965585883974, 127.05847530797062 37.52785318796257, 127.05621183727676 37.52784470414376, 127.05620115711046 37.52964737447184))",자양4동
3,0,25,0,"POLYGON ((127.05621183727676 37.52784470414376, 127.05847530797062 37.52785318796257, 127.05848593272214 37.526050516531214, 127.05622251649157 37.52604203326146, 127.05621183727676 37.52784470414376))",자양4동
4,1,20,0,"POLYGON ((127.05842217001221 37.53686653680621, 127.06068591404245 37.536874979978116, 127.06069648904023 37.535072310771476, 127.05843279949762 37.53506386814594, 127.05842217001221 37.53686653680621))",자양4동
5,1,21,0,"POLYGON ((127.05843279949762 37.53506386814594, 127.06069648904023 37.535072310771476, 127.06070706309588 37.533269641010605, 127.05844342803611 37.533261198931434, 127.05843279949762 37.53506386814594))",자양4동
6,1,22,0,"POLYGON ((127.05844342803611 37.533261198931434, 127.06070706309588 37.533269641010605, 127.06071763620953 37.53146697069555, 127.0584540556277 37.5314585291627, 127.05844342803611 37.533261198931434))",자양4동
7,1,23,0,"POLYGON ((127.0584540556277 37.5314585291627, 127.06071763620953 37.53146697069555, 127.06072820838124 37.529664299826294, 127.0584646822725 37.52965585883974, 127.0584540556277 37.5314585291627))",자양4동
8,1,24,0,"POLYGON ((127.0584646822725 37.52965585883974, 127.06072820838124 37.529664299826294, 127.0607387796111 37.527861628402846, 127.05847530797062 37.52785318796257, 127.0584646822725 37.52965585883974))",자양4동
9,1,25,0,"POLYGON ((127.05847530797062 37.52785318796257, 127.0607387796111 37.527861628402846, 127.06074934989923 37.52605895642523, 127.05848593272214 37.526050516531214, 127.05847530797062 37.52785318796257))",자양4동
10,2,18,0,"POLYGON ((127.06066476122025 37.54048031672876, 127.06292861518277 37.54048871759526, 127.06293913756754 37.53868604895343, 127.06067533810248 37.538677648630554, 127.06066476122025 37.54048031672876))",자양4동
11,2,19,0,"POLYGON ((127.06067533810248 37.538677648630554, 127.06293913756754 37.53868604895343, 127.06294965901489 37.5368833797574, 127.06068591404245 37.536874979978116, 127.06067533810248 37.538677648630554))",자양4동
12,2,20,1,"POLYGON ((127.06068591404245 37.536874979978116, 127.06294965901489 37.5368833797574, 127.06296017952492 37.535080710007186, 127.06069648904023 37.535072310771476, 127.06068591404245 37.536874979978116))",자양4동
13,2,21,0,"POLYGON ((127.06069648904023 37.535072310771476, 127.06296017952492 37.535080710007186, 127.06297069909768 37.53327803970277, 127.06070706309588 37.533269641010605, 127.06069648904023 37.535072310771476))",자양4동
14,2,22,0,"POLYGON ((127.06070706309588 37.533269641010605, 127.06297069909768 37.53327803970277, 127.06298121773328 37.53147536884419, 127.06071763620953 37.53146697069555, 127.06070706309588 37.533269641010605))",자양4동
15,2,23,0,"POLYGON ((127.06071763620953 37.53146697069555, 127.06298121773328 37.53147536884419, 127.06299173543181 37.52967269743143, 127.06072820838124 37.529664299826294, 127.06071763620953 37.53146697069555))",자양4동
16,2,24,0,"POLYGON ((127.06072820838124 37.529664299826294, 127.06299173543181 37.52967269743143, 127.06300225219333 37.52787002546452, 127.0607387796111 37.527861628402846, 127.06072820838124 37.529664299826294))",자양4동
17,2,25,0,"POLYGON ((127.0607387796111 37.527861628402846, 127.06300225219333 37.52787002546452, 127.06301276801797 37.526067352943464, 127.06074934989923 37.52605895642523, 127.0607387796111 37.527861628402846))",자양4동
18,2,26,0,"POLYGON ((127.06074934989923 37.52605895642523, 127.06301276801797 37.526067352943464, 127.06302328290579 37.52426467986827, 127.06075991924568 37.52425628389344, 127.06074934989923 37.52605895642523))",자양4동
19,3,15,0,"POLYGON ((127.06289704240294 37.545896720195415, 127.06516106082474 37.54590507928621, 127.06517153151023 37.54410241176616, 127.06290756760055 37.544094053216256, 127.06289704240294 37.545896720195415))",화양동
20,3,16,0,"POLYGON ((127.06290756760055 37.544094053216256, 127.06517153151023 37.54410241176616, 127.06518200126287 37.54229974369191, 127.06291809186044 37.542291385682866, 127.06290756760055 37.544094053216256))",화양동
21,3,17,0,"POLYGON ((127.06291809186044 37.542291385682866, 127.06518200126287 37.54229974369191, 127.06519247008278 37.54049707506346, 127.06292861518277 37.54048871759526, 127.06291809186044 37.542291385682866))",자양4동
22,3,18,1,"POLYGON ((127.06292861518277 37.54048871759526, 127.06519247008278 37.54049707506346, 127.06520293797003 37.53869440588081, 127.06293913756754 37.53868604895343, 127.06292861518277 37.54048871759526))",자양4동
23,3,19,0,"POLYGON ((127.06293913756754 37.53868604895343, 127.06520293797003 37.53869440588081, 127.06521340492468 37.53689173614399, 127.06294965901489 37.5368833797574, 127.06293913756754 37.53868604895343))",자양4동
24,3,20,0,"POLYGON ((127.06294965901489 37.5368833797574, 127.06521340492468 37.53689173614399, 127.06522387094687 37.535089065853015, 127.06296017952492 37.535080710007186, 127.06294965901489 37.5368833797574))",자양4동
25,3,21,1,"POLYGON ((127.06296017952492 37.535080710007186, 127.06522387094687 37.535089065853015, 127.06523433603664 37.53328639500786, 127.06297069909768 37.53327803970277, 127.06296017952492 37.535080710007186))",자양4동
26,3,22,0,"POLYGON ((127.06297069909768 37.53327803970277, 127.06523433603664 37.53328639500786, 127.06524480019411 37.53148372360856, 127.06298121773328 37.53147536884419, 127.06297069909768 37.53327803970277))",자양4동
27,3,23,0,"POLYGON ((127.06298121773328 37.53147536884419, 127.06524480019411 37.53148372360856, 127.06525526341935 37.52968105165512, 127.06299173543181 37.52967269743143, 127.06298121773328 37.53147536884419))",자양4동
28,3,24,0,"POLYGON ((127.06299173543181 37.52967269743143, 127.06525526341935 37.52968105165512, 127.06526572571244 37.52787837914754, 127.06300225219333 37.52787002546452, 127.06299173543181 37.52967269743143))",자양4동
29,3,25,0,"POLYGON ((127.06300225219333 37.52787002546452, 127.06526572571244 37.52787837914754, 127.06527618707352 37.52607570608584, 127.06301276801797 37.526067352943464, 127.06300225219333 37.52787002546452))",자양4동
30,3,26,0,"POLYGON ((127.06301276801797 37.526067352943464, 127.06527618707352 37.52607570608584, 127.0652866475026 37.524273032470035, 127.06302328290579 37.52426467986827, 127.06301276801797 37.526067352943464))",자양3동
31,4,13,0,"POLYGON ((127.06514011665489 37.549510412663636, 127.06740424504858 37.549518729423895, 127.06741466307811 37.54771606247416, 127.06515058920633 37.547707746252044, 127.06514011665489 37.549510412663636))",화양동
32,4,14,0,"POLYGON ((127.06515058920633 37.547707746252044, 127.06741466307811 37.54771606247416, 127.06742508017948 37.54591339497022, 127.06516106082474 37.54590507928621, 127.06515058920633 37.547707746252044))",화양동
33,4,15,0,"POLYGON ((127.06516106082474 37.54590507928621, 127.06742508017948 37.54591339497022, 127.06743549635276 37.54411072691208, 127.06517153151023 37.54410241176616, 127.06516106082474 37.54590507928621))",화양동
34,4,16,0,"POLYGON ((127.06517153151023 37.54410241176616, 127.06743549635276 37.54411072691208, 127.06744591159804 37.54230805829977, 127.06518200126287 37.54229974369191, 127.06517153151023 37.54410241176616))",화양동
35,4,17,0,"POLYGON ((127.06518200126287 37.54229974369191, 127.06744591159804 37.54230805829977, 127.06745632591546 37.54050538913329, 127.06519247008278 37.54049707506346, 127.06518200126287 37.54229974369191))",화양동
36,4,18,0,"POLYGON ((127.06519247008278 37.54049707506346, 127.06745632591546 37.54050538913329, 127.06746673930506 37.53870271941264, 127.06520293797003 37.53869440588081, 127.06519247008278 37.54049707506346))",자양4동
37,4,19,0,"POLYGON ((127.06520293797003 37.53869440588081, 127.06746673930506 37.53870271941264, 127.06747715176694 37.536900049137834, 127.06521340492468 37.53689173614399, 127.06520293797003 37.53869440588081))",자양4동
38,4,20,0,"POLYGON ((127.06521340492468 37.53689173614399, 127.06747715176694 37.536900049137834, 127.06748756330119 37.5350973783089, 127.06522387094687 37.535089065853015, 127.06521340492468 37.53689173614399))",자양4동
39,4,21,0,"POLYGON ((127.06522387094687 37.535089065853015, 127.06748756330119 37.5350973783089, 127.06749797390792 37.53329470692581, 127.06523433603664 37.53328639500786, 127.06522387094687 37.535089065853015))",자양4동
40,4,22,0,"POLYGON ((127.06523433603664 37.53328639500786, 127.06749797390792 37.53329470692581, 127.06750838358717 37.53149203498861, 127.06524480019411 37.53148372360856, 127.06523433603664 37.53328639500786))",자양4동
41,4,23,0,"POLYGON ((127.06524480019411 37.53148372360856, 127.06750838358717 37.53149203498861, 127.06751879233903 37.52968936249729, 127.06525526341935 37.52968105165512, 127.06524480019411 37.53148372360856))",자양4동
42,4,24,0,"POLYGON ((127.06525526341935 37.52968105165512, 127.06751879233903 37.52968936249729, 127.06752920016363 37.52788668945185, 127.06526572571244 37.52787837914754, 127.06525526341935 37.52968105165512))",자양3동
43,4,25,0,"POLYGON ((127.06526572571244 37.52787837914754, 127.06752920016363 37.52788668945185, 127.06753960706102 37.52608401585232, 127.06527618707352 37.52607570608584, 127.06526572571244 37.52787837914754))",자양3동
44,4,26,0,"POLYGON ((127.06527618707352 37.52607570608584, 127.06753960706102 37.52608401585232, 127.06755001303131 37.52428134169871, 127.0652866475026 37.524273032470035, 127.06527618707352 37.52607570608584))",자양3동
45,5,11,0,"POLYGON ((127.06738340620474 37.55312406166075, 127.06964764458527 37.553132336079265, 127.06965800993964 37.55132966970258, 127.06739382609084 37.551321395819436, 127.06738340620474 37.55312406166075))",군자동
46,5,12,0,"POLYGON ((127.06739382609084 37.551321395819436, 127.06965800993964 37.55132966970258, 127.06966837437054 37.54952700277169, 127.06740424504858 37.549518729423895, 127.06739382609084 37.551321395819436))",군자동
47,5,13,0,"POLYGON ((127.06740424504858 37.549518729423895, 127.06966837437054 37.54952700277169, 127.06967873787804 37.547724335286624, 127.06741466307811 37.54771606247416, 127.06740424504858 37.549518729423895))",군자동
48,5,14,0,"POLYGON ((127.06741466307811 37.54771606247416, 127.06967873787804 37.547724335286624, 127.06968910046224 37.54592166724739, 127.06742508017948 37.54591339497022, 127.06741466307811 37.54771606247416))",화양동
