,x_index,y_index,격자 당 경로당 수,geometry,행정동,격자 당 어린이 보육시설 수,중심점,x,y
0,0,22,0,"POLYGON ((960788.0000000006 1948307.9999999998, 960988.0000000003 1948308.0000000005, 960988.0000000002 1948108, 960788.0000000003 1948108, 960788.0000000006 1948307.9999999998))",자양4동,0,POINT (960888.0000000005 1948207.9999999998),960888.0000000005,1948207.9999999998
1,0,23,0,"POLYGON ((960788.0000000003 1948108, 960988.0000000002 1948108, 960987.9999999998 1947907.9999999995, 960787.9999999991 1947908.000000001, 960788.0000000003 1948108))",자양4동,0,POINT (960887.9999999998 1948008.0000000002),960887.9999999998,1948008.0000000002
2,0,24,0,"POLYGON ((960787.9999999991 1947908.000000001, 960987.9999999998 1947907.9999999995, 960987.9999999999 1947707.9999999998, 960788.0000000001 1947707.9999999998, 960787.9999999991 1947908.000000001))",자양4동,0,POINT (960887.9999999995 1947808),960887.9999999995,1947808.0
3,0,25,0,"POLYGON ((960788.0000000001 1947707.9999999998, 960987.9999999999 1947707.9999999998, 960987.9999999995 1947508.0000000007, 960788 1947508, 960788.0000000001 1947707.9999999998))",자양4동,0,POINT (960887.9999999999 1947607.9999999998),960887.9999999999,1947607.9999999998
4,1,20,0,"POLYGON ((960987.9999999992 1948708, 961187.9999999998 1948708, 961187.9999999995 1948508.0000000002, 960987.9999999988 1948508.0000000002, 960987.9999999992 1948708))",자양4동,0,POINT (961087.9999999992 1948608.0000000002),961087.9999999992,1948608.0000000002
5,1,21,0,"POLYGON ((960987.9999999988 1948508.0000000002, 961187.9999999995 1948508.0000000002, 961187.9999999994 1948307.9999999998, 960988.0000000003 1948308.0000000005, 960987.9999999988 1948508.0000000002))",자양4동,0,POINT (961087.9999999997 1948408),961087.9999999997,1948408.0
6,1,22,0,"POLYGON ((960988.0000000003 1948308.0000000005, 961187.9999999994 1948307.9999999998, 961188.0000000006 1948107.9999999993, 960988.0000000002 1948108, 960988.0000000003 1948308.0000000005))",자양4동,0,POINT (961088.0000000001 1948208),961088.0000000001,1948208.0
7,1,23,0,"POLYGON ((960988.0000000002 1948108, 961188.0000000006 1948107.9999999993, 961187.9999999997 1947908.0000000002, 960987.9999999998 1947907.9999999995, 960988.0000000002 1948108))",자양4동,0,POINT (961088 1948007.9999999998),961088.0,1948007.9999999998
8,1,24,0,"POLYGON ((960987.9999999998 1947907.9999999995, 961187.9999999997 1947908.0000000002, 961188 1947707.9999999998, 960987.9999999999 1947707.9999999998, 960987.9999999998 1947907.9999999995))",자양4동,0,POINT (961087.9999999998 1947808),961087.9999999998,1947808.0
9,1,25,0,"POLYGON ((960987.9999999999 1947707.9999999998, 961188 1947707.9999999998, 961188.0000000007 1947508, 960987.9999999995 1947508.0000000007, 960987.9999999999 1947707.9999999998))",자양4동,0,POINT (961088.0000000001 1947608.0000000005),961088.0000000001,1947608.0000000005
10,2,18,0,"POLYGON ((961188.0000000005 1949108.000000001, 961388.000000001 1949108.0000000002, 961387.9999999999 1948907.9999999998, 961187.999999999 1948908.0000000005, 961188.0000000005 1949108.000000001))",자양4동,0,POINT (961288.0000000002 1949008.0000000005),961288.0000000002,1949008.0000000005
11,2,19,0,"POLYGON ((961187.999999999 1948908.0000000005, 961387.9999999999 1948907.9999999998, 961387.9999999992 1948707.9999999993, 961187.9999999998 1948708, 961187.999999999 1948908.0000000005))",자양4동,0,POINT (961287.9999999994 1948808),961287.9999999994,1948808.0
12,2,20,1,"POLYGON ((961187.9999999998 1948708, 961387.9999999992 1948707.9999999993, 961388.0000000002 1948508.000000001, 961187.9999999995 1948508.0000000002, 961187.9999999998 1948708))",자양4동,2,POINT (961287.9999999997 1948608),961287.9999999997,1948608.0
13,2,21,0,"POLYGON ((961187.9999999995 1948508.0000000002, 961388.0000000002 1948508.000000001, 961387.9999999995 1948308.0000000005, 961187.9999999994 1948307.9999999998, 961187.9999999995 1948508.0000000002))",자양4동,1,POINT (961287.9999999997 1948408.0000000005),961287.9999999997,1948408.0000000005
14,2,22,0,"POLYGON ((961187.9999999994 1948307.9999999998, 961387.9999999995 1948308.0000000005, 961388.0000000008 1948108, 961188.0000000006 1948107.9999999993, 961187.9999999994 1948307.9999999998))",자양4동,0,POINT (961288.0000000002 1948207.9999999995),961288.0000000002,1948207.9999999995
15,2,23,0,"POLYGON ((961188.0000000006 1948107.9999999993, 961388.0000000008 1948108, 961388.0000000005 1947908.000000001, 961187.9999999997 1947908.0000000002, 961188.0000000006 1948107.9999999993))",자양4동,0,POINT (961288.0000000003 1948007.9999999998),961288.0000000003,1948007.9999999998
16,2,24,0,"POLYGON ((961187.9999999997 1947908.0000000002, 961388.0000000005 1947908.000000001, 961388 1947708.0000000012, 961188 1947707.9999999998, 961187.9999999997 1947908.0000000002))",자양4동,0,POINT (961288 1947808.0000000005),961288.0,1947808.0000000005
17,2,25,0,"POLYGON ((961188 1947707.9999999998, 961388 1947708.0000000012, 961388.0000000003 1947508, 961188.0000000007 1947508, 961188 1947707.9999999998))",자양4동,0,POINT (961288.0000000003 1947608.0000000005),961288.0000000003,1947608.0000000005
18,2,26,0,"POLYGON ((961188.0000000007 1947508, 961388.0000000003 1947508, 961388.0000000006 1947308.0000000002, 961188.0000000005 1947307.9999999988, 961188.0000000007 1947508))",자양4동,0,POINT (961288.0000000005 1947407.9999999993),961288.0000000005,1947407.9999999993
19,3,15,0,"POLYGON ((961388.0000000001 1949708.0000000016, 961587.9999999998 1949708.0000000002, 961588 1949508.0000000005, 961388.0000000001 1949508.0000000005, 961388.0000000001 1949708.0000000016))",화양동,0,POINT (961487.9999999999 1949608.0000000005),961487.9999999999,1949608.0000000005
20,3,16,0,"POLYGON ((961388.0000000001 1949508.0000000005, 961588 1949508.0000000005, 961587.9999999997 1949308, 961387.9999999993 1949308, 961388.0000000001 1949508.0000000005))",화양동,1,POINT (961487.9999999995 1949408),961487.9999999995,1949408.0
21,3,17,0,"POLYGON ((961387.9999999993 1949308, 961587.9999999997 1949308, 961588.0000000001 1949108.000000001, 961388.000000001 1949108.0000000002, 961387.9999999993 1949308))",자양4동,1,POINT (961488 1949208.0000000002),961488.0,1949208.0000000002
22,3,18,1,"POLYGON ((961388.000000001 1949108.0000000002, 961588.0000000001 1949108.000000001, 961588.0000000003 1948907.9999999984, 961387.9999999999 1948907.9999999998, 961388.000000001 1949108.0000000002))",자양4동,0,POINT (961488.0000000005 1949007.9999999995),961488.0000000005,1949007.9999999995
23,3,19,0,"POLYGON ((961387.9999999999 1948907.9999999998, 961588.0000000003 1948907.9999999984, 961587.9999999992 1948708, 961387.9999999992 1948707.9999999993, 961387.9999999999 1948907.9999999998))",자양4동,1,POINT (961487.9999999995 1948807.9999999993),961487.9999999995,1948807.9999999993
24,3,20,0,"POLYGON ((961387.9999999992 1948707.9999999993, 961587.9999999992 1948708, 961588.0000000002 1948508.0000000002, 961388.0000000002 1948508.000000001, 961387.9999999992 1948707.9999999993))",자양4동,1,POINT (961487.9999999998 1948608),961487.9999999998,1948608.0
25,3,21,1,"POLYGON ((961388.0000000002 1948508.000000001, 961588.0000000002 1948508.0000000002, 961588.0000000001 1948308.0000000005, 961387.9999999995 1948308.0000000005, 961388.0000000002 1948508.000000001))",자양4동,2,POINT (961487.9999999999 1948408.0000000005),961487.9999999999,1948408.0000000005
26,3,22,0,"POLYGON ((961387.9999999995 1948308.0000000005, 961588.0000000001 1948308.0000000005, 961588.0000000002 1948108, 961388.0000000008 1948108, 961387.9999999995 1948308.0000000005))",자양4동,0,POINT (961488 1948208.0000000005),961488.0,1948208.0000000005
27,3,23,0,"POLYGON ((961388.0000000008 1948108, 961588.0000000002 1948108, 961587.9999999994 1947908.0000000002, 961388.0000000005 1947908.000000001, 961388.0000000008 1948108))",자양4동,1,POINT (961488.0000000003 1948008.0000000005),961488.0000000003,1948008.0000000005
28,3,24,0,"POLYGON ((961388.0000000005 1947908.000000001, 961587.9999999994 1947908.0000000002, 961587.999999999 1947707.9999999998, 961388 1947708.0000000012, 961388.0000000005 1947908.000000001))",자양4동,0,POINT (961487.9999999998 1947808.0000000005),961487.9999999998,1947808.0000000005
29,3,25,0,"POLYGON ((961388 1947708.0000000012, 961587.999999999 1947707.9999999998, 961588.0000000001 1947508.0000000007, 961388.0000000003 1947508, 961388 1947708.0000000012))",자양4동,0,POINT (961487.9999999998 1947608.0000000005),961487.9999999998,1947608.0000000005
30,3,26,0,"POLYGON ((961388.0000000003 1947508, 961588.0000000001 1947508.0000000007, 961587.9999999998 1947308.0000000002, 961388.0000000006 1947308.0000000002, 961388.0000000003 1947508))",자양3동,0,POINT (961488.0000000001 1947408),961488.0000000001,1947408.0
31,4,13,0,"POLYGON ((961587.9999999995 1950107.999999999, 961787.9999999991 1950107.9999999998, 961788.0000000003 1949908, 961588 1949908.0000000007, 961587.9999999995 1950107.999999999))",화양동,0,POINT (961687.9999999999 1950007.9999999998),961687.9999999999,1950007.9999999998
32,4,14,0,"POLYGON ((961588 1949908.0000000007, 961788.0000000003 1949908, 961788.000000001 1949708.000000001, 961587.9999999998 1949708.0000000002, 961588 1949908.0000000007))",화양동,0,POINT (961688.0000000001 1949808.0000000005),961688.0000000001,1949808.0000000005
33,4,15,0,"POLYGON ((961587.9999999998 1949708.0000000002, 961788.000000001 1949708.000000001, 961788.0000000003 1949507.9999999998, 961588 1949508.0000000005, 961587.9999999998 1949708.0000000002))",화양동,0,POINT (961688.0000000003 1949608.0000000002),961688.0000000003,1949608.0000000002
34,4,16,0,"POLYGON ((961588 1949508.0000000005, 961788.0000000003 1949507.9999999998, 961787.9999999994 1949308, 961587.9999999997 1949308, 961588 1949508.0000000005))",화양동,0,POINT (961687.9999999998 1949408),961687.9999999998,1949408.0
35,4,17,0,"POLYGON ((961587.9999999997 1949308, 961787.9999999994 1949308, 961787.9999999995 1949108.0000000002, 961588.0000000001 1949108.000000001, 961587.9999999997 1949308))",화양동,1,POINT (961687.9999999997 1949208),961687.9999999997,1949208.0
36,4,18,0,"POLYGON ((961588.0000000001 1949108.000000001, 961787.9999999995 1949108.0000000002, 961787.9999999998 1948907.9999999998, 961588.0000000003 1948907.9999999984, 961588.0000000001 1949108.000000001))",자양4동,2,POINT (961687.9999999997 1949007.9999999998),961687.9999999997,1949007.9999999998
37,4,19,0,"POLYGON ((961588.0000000003 1948907.9999999984, 961787.9999999998 1948907.9999999998, 961787.9999999992 1948707.9999999993, 961587.9999999992 1948708, 961588.0000000003 1948907.9999999984))",자양4동,0,POINT (961687.9999999997 1948807.9999999993),961687.9999999997,1948807.9999999993
38,4,20,0,"POLYGON ((961587.9999999992 1948708, 961787.9999999992 1948707.9999999993, 961787.999999999 1948508.000000001, 961588.0000000002 1948508.0000000002, 961587.9999999992 1948708))",자양4동,0,POINT (961687.9999999993 1948608),961687.9999999993,1948608.0
39,4,21,0,"POLYGON ((961588.0000000002 1948508.0000000002, 961787.999999999 1948508.000000001, 961788.0000000005 1948307.999999999, 961588.0000000001 1948308.0000000005, 961588.0000000002 1948508.0000000002))",자양4동,0,POINT (961688.0000000001 1948408),961688.0000000001,1948408.0
40,4,22,0,"POLYGON ((961588.0000000001 1948308.0000000005, 961788.0000000005 1948307.999999999, 961788.0000000005 1948108, 961588.0000000002 1948108, 961588.0000000001 1948308.0000000005))",자양4동,0,POINT (961688.0000000001 1948207.9999999998),961688.0000000001,1948207.9999999998
41,4,23,0,"POLYGON ((961588.0000000002 1948108, 961788.0000000005 1948108, 961788.0000000001 1947908.0000000002, 961587.9999999994 1947908.0000000002, 961588.0000000002 1948108))",자양4동,0,POINT (961688.0000000001 1948008),961688.0000000001,1948008.0
42,4,24,0,"POLYGON ((961587.9999999994 1947908.0000000002, 961788.0000000001 1947908.0000000002, 961788.0000000008 1947707.9999999998, 961587.999999999 1947707.9999999998, 961587.9999999994 1947908.0000000002))",자양3동,0,POINT (961687.9999999997 1947807.9999999998),961687.9999999997,1947807.9999999998
43,4,25,0,"POLYGON ((961587.999999999 1947707.9999999998, 961788.0000000008 1947707.9999999998, 961787.9999999993 1947508, 961588.0000000001 1947508.0000000007, 961587.999999999 1947707.9999999998))",자양3동,0,POINT (961687.9999999999 1947608.0000000002),961687.9999999999,1947608.0000000002
