,행정동,경로당명,주소,회원수(총원),위도,경도,geometry
0,중곡1동,중곡1동 제1,서울특별시 광진구 긴고랑로5길 10,37,37.5642294,127.0788004,POINT (127.0788004 37.5642294)
1,중곡1동,중곡1동 제2,서울특별시 광진구 긴고랑로8길 51,36,37.561565,127.078102,POINT (127.078102 37.561565)
2,중곡2동,한마음,서울특별시 광진구 긴고랑로22길 39-4,32,37.5606438,127.0842583,POINT (127.0842583 37.5606438)
3,중곡2동,장수,서울특별시 광진구 긴고랑로31길 44,22,37.5611298,127.0869371,POINT (127.0869371 37.5611298)
4,중곡3동,용마,서울특별시 광진구 용마산로31길 38-8 ,35,37.5691449,127.0848278,POINT (127.0848278 37.5691449)
5,중곡3동,중곡3동,서울특별시 광진구 동일로80길 20 ,60,37.5701754,127.08125,POINT (127.08125 37.5701754)
6,중곡4동,중곡4동,서울특별시 광진구 긴고랑로39길 57 ,20,37.5594283,127.092805,POINT (127.092805 37.5594283)
7,중곡4동,용곡,서울특별시 광진구 용마산28길 31 ,25,0.0,0.0,POINT (0 0)
8,중곡4동,대원,서울특별시 광진구 긴고랑로36길 57-27 ,51,37.5578487,127.0921098,POINT (127.0921098 37.5578487)
9,중곡4동,신향빌라,서울특별시 광진구 용마산로24길 13 ,16,37.5652341,127.087498,POINT (127.087498 37.5652341)
10,능동,능동,서울특별시 광진구 천호대로112길 70 ,48,37.5542428,127.0800908,POINT (127.0800908 37.5542428)
11,구의1동,구의,서울특별시 광진구 광나루로40길 6 ,47,37.5429773,127.0892067,POINT (127.0892067 37.5429773)
12,구의1동,명성,서울특별시 광진구 자양로26길 20-5 ,46,37.5410325,127.086969,POINT (127.086969 37.5410325)
13,구의1동,구의1동제2,서울특별시 광진구 광나루로30가길 27 ,63,37.5440731,127.0829299,POINT (127.0829299 37.5440731)
14,구의1동,구의새한,서울특별시 광진구 자양로26길 71 ,24,37.5410325,127.086969,POINT (127.086969 37.5410325)
15,구의2동,아차산,서울특별시 광진구 자양로47길 9-4 ,38,37.5526422,127.0917674,POINT (127.0917674 37.5526422)
16,구의2동,소능,서울특별시 광진구 자양로37길 85 ,42,37.5483448,127.0869937,POINT (127.0869937 37.5483448)
17,구의2동,구의2동,서울특별시 광진구 자양로38길 17-5 ,41,37.5467872,127.0891808,POINT (127.0891808 37.5467872)
18,구의2동,래미안파크스위트,서울특별시 광진구 광나루로 545,52,37.54006,127.09724,POINT (127.09724 37.54006)
19,구의3동,구의새마을,서울특별시 광진구 구의강변로3길 39 ,28,37.535266,127.0909877,POINT (127.0909877 37.535266)
20,구의3동,산의마을,서울특별시 광진구 아차산로63길 21 ,37,0.0,0.0,POINT (0 0)
21,구의3동,강변우성,서울특별시 광진구 구의강변로42 ,25,0.0,0.0,POINT (0 0)
22,구의3동,구의현대2차,서울특별시 광진구 광나루로56길 32 ,15,37.53781,127.09669,POINT (127.09669 37.53781)
23,구의3동,구의현대6차,서울특별시 광진구 구의강변로94 ,23,0.0,0.0,POINT (0 0)
24,구의3동,구의현대7차,서울특별시 광진구 구의강변로3가길 39 ,40,37.5363797,127.0914994,POINT (127.0914994 37.5363797)
25,구의3동,구의현대프라임,서울특별시 광진구 광나루로56길 29 ,48,37.53781,127.09669,POINT (127.09669 37.53781)
26,구의3동,세양,서울특별시 광진구 구의강변로84 ,25,0.0,0.0,POINT (0 0)
27,구의3동,구의대림아크로리버,서울특별시 광진구 구의강변로 64 ,20,37.5360055,127.09280017241599,POINT (127.09280017241599 37.5360055)
28,광장동,국가유공자,서울특별시 광진구 아차산로 630,52,37.538847,127.0919729,POINT (127.0919729 37.538847)
29,광장동,광장,서울특별시 광진구 아차산로73길 15 ,51,37.5463502,127.1032694,POINT (127.1032694 37.5463502)
30,광장동,광장제2,서울특별시 광진구 아차산로78길 67 ,29,37.5478992,127.10863,POINT (127.10863 37.5478992)
31,광장동,광나루현대,서울특별시 광진구 아차산로76길 31 ,20,37.5467113,127.1076358,POINT (127.1076358 37.5467113)
32,광장동,광장극동1차,서울특별시 광진구 아차산로 552 ,20,37.538847,127.0919729,POINT (127.0919729 37.538847)
33,광장동,광장극동2차,서울특별시 광진구 아차산로 552 ,21,37.538847,127.0919729,POINT (127.0919729 37.538847)
34,광장동,광장현대3차,서울특별시 광진구 아차산로70길 62 ,35,37.5392797,127.0983829,POINT (127.0983829 37.5392797)
35,광장동,광장현대5차,서울특별시 광진구 아차산로70길 61 ,25,37.5392797,127.0983829,POINT (127.0983829 37.5392797)
36,광장동,광장현대8차,서울특별시 광진구 아차산로 522 ,24,37.538847,127.0919729,POINT (127.0919729 37.538847)
37,광장동,광장현대9차,서울특별시 광진구 아차산로69길 19,22,37.5428876,127.0984083,POINT (127.0984083 37.5428876)
38,광장동,광장현대10차,서울특별시 광진구 아차산로549 ,20,0.0,0.0,POINT (0 0)
39,광장동,광장현대11차,서울특별시 광진구 아차산로69길 29 ,17,37.5428876,127.0984083,POINT (127.0984083 37.5428876)
40,광장동,광장현대12차,서울특별시 광진구 천호대로808 ,20,0.0,0.0,POINT (0 0)
41,광장동,광장삼성,서울특별시 광진구 아차산로 544 ,24,37.538847,127.0919729,POINT (127.0919729 37.538847)
42,광장동,광장청구,서울특별시 광진구 아차산로 503-23 ,25,37.538847,127.0919729,POINT (127.0919729 37.538847)
43,광장동,워커힐,서울특별시 광진구 아차산로 635 ,39,37.538847,127.0919729,POINT (127.0919729 37.538847)
44,광장동,워커힐푸르지오,서울특별시 광진구 아차산로78길 10 ,24,37.5478992,127.10863,POINT (127.10863 37.5478992)
45,광장동,금호,서울특별시 광진구 광나루로579 ,32,0.0,0.0,POINT (0 0)
46,광장동,신동아파밀리에,서울특별시 광진구 아차산로 599 ,41,37.538847,127.0919729,POINT (127.0919729 37.538847)
47,광장동,유천빌라,서울특별시 광진구 광장로 63,0,37.5473486,127.1041974,POINT (127.1041974 37.5473486)
48,광장동,힐스테이트,서울특별시 광진구 아차산로 537-17 ,27,37.538847,127.0919729,POINT (127.0919729 37.538847)
49,자양1동,자양1동,서울특별시 광진구 아차산로40길 46 ,39,37.5363051,127.0781832,POINT (127.0781832 37.5363051)
50,자양1동,중앙,서울특별시 광진구 뚝섬로57가길 48-3,35,37.5320244,127.0818181,POINT (127.0818181 37.5320244)
51,자양1동,자마장,서울특별시 광진구 자양로13길 37 ,35,37.5329309,127.0804176,POINT (127.0804176 37.5329309)
52,자양1동,래미안시니어클럽 ,서울특별시 광진구 아차산로 345,27,37.538847,127.0919729,POINT (127.0919729 37.538847)
53,자양1동,청아,서울특별시 광진구 자양로19길 70 ,31,37.5384403,127.0813388,POINT (127.0813388 37.5384403)
54,자양2동,자양2동제1,서울특별시 광진구 뚝섬로56길 28 ,28,37.5298042,127.0821658,POINT (127.0821658 37.5298042)
55,자양2동,자양2동제2,서울특별시 광진구 뚝섬로62길 17 ,0,37.5318237,127.0883931,POINT (127.0883931 37.5318237)
56,자양2동,유수지,서울특별시 광진구 뚝섬로48길 46 ,33,37.5306344,127.0770957,POINT (127.0770957 37.5306344)
57,자양2동,자양한양,서울특별시 광진구 구의강변로 11 ,0,37.53552,127.09211,POINT (127.09211 37.53552)
58,자양2동,자양2현대2차,서울특별시 광진구 뚝섬로56길 72 ,19,37.5298042,127.0821658,POINT (127.0821658 37.5298042)
59,자양2동,자양2현대3차,서울특별시 광진구 뚝섬로56길 10 ,23,37.5298042,127.0821658,POINT (127.0821658 37.5298042)
60,자양2동,로얄동아,서울특별시 광진구 뚝섬로52마길 56 ,22,37.5278219,127.0806375,POINT (127.0806375 37.5278219)
61,자양2동,현대강변,서울특별시 광진구 자양로3가길 43 ,33,37.5293201,127.0844977,POINT (127.0844977 37.5293201)
62,자양2동,경남아너스빌,서울특별시 광진구 자양로3길 49 ,25,37.5305798,127.0839974,POINT (127.0839974 37.5305798)
63,자양2동,자양경남,서울특별시 광진구 뚝섬로52길 71 ,27,37.5303492,127.0788659,POINT (127.0788659 37.5303492)
64,자양2동,한솔리베르,서울특별시 광진구 뚝섬로56가길 28 ,32,37.5283532,127.0841329,POINT (127.0841329 37.5283532)
65,자양3동,신양,서울특별시 광진구 뚝섬로 543 ,20,37.53347,127.0883,POINT (127.0883 37.53347)
66,자양3동,자양3동,서울특별시 광진구 자양번영로3길 16 ,25,37.5321631,127.0730672,POINT (127.0730672 37.5321631)
67,자양3동,마실,서울특별시 광진구 자양번영로7길 16-9,43,37.535775,127.0753888,POINT (127.0753888 37.535775)
68,자양3동,우성1차,서울특별시 광진구 뚝섬로 569 ,28,37.53347,127.0883,POINT (127.0883 37.53347)
69,자양3동,우성2차,서울특별시 광진구 뚝섬로 576 ,20,37.53347,127.0883,POINT (127.0883 37.53347)
70,자양3동,우성3차,서울특별시 광진구 뚝섬로35길 32 ,21,37.5353033,127.0713147,POINT (127.0713147 37.5353033)
71,자양3동,우성7차,서울특별시 광진구 아차산로36길 39 ,15,37.5378234,127.0741049,POINT (127.0741049 37.5378234)
72,자양3동,자양현대2차,서울특별시 광진구 뚝섬로34길 9 ,56,37.5329285,127.0703885,POINT (127.0703885 37.5329285)
73,자양3동,자양현대8차,서울특별시 광진구 뚝섬로36길 19 ,22,37.5335318,127.0713911,POINT (127.0713911 37.5335318)
74,자양3동,자양현대9차,서울특별시 광진구 뚝섬로34길 32 ,31,37.5329285,127.0703885,POINT (127.0703885 37.5329285)
75,자양3동,자양현대10차,서울특별시 광진구 뚝섬로34길 25-19 ,12,37.5329285,127.0703885,POINT (127.0703885 37.5329285)
76,자양3동,자양삼성,서울특별시 광진구 자양번영로3길 65 ,20,37.5321615,127.07204257960804,POINT (127.07204257960804 37.5321615)
77,자양3동,한라,서울특별시 광진구 뚝섬로33길 20 ,27,37.5355421,127.07015307132227,POINT (127.07015307132227 37.5355421)
78,자양3동,우방리버파크(아),서울특별시 광진구 능동로4길 78 ,21,37.5320251,127.0701166,POINT (127.0701166 37.5320251)
79,자양3동,이튼타워리버3차,서울특별시 광진구 능동로 18 ,54,37.5340314,127.0678046,POINT (127.0678046 37.5340314)
80,자양3동,이튼타워리버5차,서울특별시 광진구 능동로4길 40,23,37.5320251,127.0701166,POINT (127.0701166 37.5320251)
81,자양3동,더샵스타시티,서울특별시 광진구 아차산로 262 ,0,37.538847,127.0919729,POINT (127.0919729 37.538847)
82,자양4동,자양4동 제1,서울특별시 광진구 동일로16길 17-9 ,34,37.5390726,127.0636424,POINT (127.0636424 37.5390726)
83,자양4동,자양4동 제2,서울특별시 광진구 동일로2길 17 ,37,37.5355818,127.061943,POINT (127.061943 37.5355818)
84,자양4동,자양4동 제4,서울특별시 광진구 뚝섬로30가길 18 ,45,0.0,0.0,POINT (0 0)
85,자양4동,노유산,서울특별시 광진구 동일로10가길 15-2,35,0.0,0.0,POINT (0 0)
86,자양4동,대동,서울특별시 광진구 뚝섬로31길 11 ,24,37.5364436,127.0679284,POINT (127.0679284 37.5364436)
87,자양4동,꿈에그린,서울특별시 광진구 뚝섬로24길 74,28,37.5347614,127.0630491,POINT (127.0630491 37.5347614)
88,자양4동,한강우성,서울특별시 광진구 능동로1길 15 ,28,0.0,0.0,POINT (0 0)
89,화양동,화양동,서울특별시 광진구 능동로17길 39 ,21,37.5467359,127.0715085,POINT (127.0715085 37.5467359)
90,화양동,모진동,서울특별시 광진구 광나루로24길 53 ,23,37.5453422,127.0791408,POINT (127.0791408 37.5453422)
91,화양동,화양동 현대,서울특별시 광진구 동일로24길 5 ,22,37.5431081,127.0682804,POINT (127.0682804 37.5431081)
92,군자동,군자,서울특별시 광진구 동일로52길 27 ,55,37.5545518,127.0720904,POINT (127.0720904 37.5545518)
93,군자동,양마,서울특별시 광진구 동일로42길 2 ,39,37.5526747,127.0705417,POINT (127.0705417 37.5526747)
94,군자동,양마제2,서울특별시 광진구 군자로13길 35 ,40,37.5524317,127.0711893,POINT (127.0711893 37.5524317)
95,군자동,복조리,서울특별시 광진구 광나루로17길 28,41,37.5487957,127.0727108,POINT (127.0727108 37.5487957)
96,군자동,일성파크,서울특별시 광진구 군자로12길 46 ,55,37.5513392,127.0726892,POINT (127.0726892 37.5513392)
