,인허가일자,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),업종구분명,종별명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수
25126,2015-12-22,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",5029,건국대학교,대학교,,,대학교,4종,24.0,365.0,24.0,365.0
25567,2015-10-26,"서울특별시 광진구 워커힐로 177 (광장동, 워커힐호텔)",4963,SK네트웍스(주) 워커힐호텔,호텔업,209696.6152,450572.6302,호텔업,4종,12.0,365.0,,0.0
25796,2016-03-22,"서울특별시 광진구 구의강변로 45 (구의동, 구의동 복합빌딩)",5049,성진강변스파랜드,욕탕업,207995.9571,448085.2425,욕탕업,4종,24.0,365.0,,0.0
25984,2019-02-14,"서울특별시 광진구 워커힐로 93, 정립회관 (구의동)",4958,정립회관,수영장 운영업,208558.3494,449841.6657,수영장 운영업,5종,6.0,140.0,6.0,140.0
26126,2015-08-28,"서울특별시 광진구 능동로 120-1 (화양동, 건국대학교병원)",5030,건국대학교병원,,206303.0322,448689.8782,,4종,24.0,365.0,24.0,365.0
26255,2015-12-10,"서울특별시 광진구 능동로 433, 중곡문화체육센터 (중곡동)",4904,광진구시설관리공단 중곡동문화체육센터,공공관계 서비스업,207416.1762,451726.8248,공공관계 서비스업,4종,8.0,320.0,8.0,320.0
26989,2015-09-02,서울특별시 광진구 능동로 90 (자양동),143-854,The Classic 500,숙박업,206217.4347,448506.2187,숙박업,4종,12.0,100.0,,0.0
27403,2015-09-22,"서울특별시 광진구 능동로 92 (자양동, 롯데백화점)",5065,건국AMC 스타시티롯데백화점,,206217.4347,448506.2187,,4종,17.0,365.0,17.0,365.0
27830,2019-07-26,"서울특별시 광진구 능동로 400, 보건복지행정타운 (중곡동)",4933,보건복지행정타운,,207403.6213,451409.4742,,4종,8.0,269.0,8.0,269.0
29101,2015-11-06,"서울특별시 광진구 워커힐로 93 (구의동, 정립회관)",4958,정립전자,그외 기타 전자부품 제조업,208558.3494,449841.6657,그외 기타 전자부품 제조업,5종,,0.0,,0.0
29151,2016-03-25,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)",4965,장로회신학대학교,대학교,209096.5449,449775.2491,대학교,4종,20.0,365.0,,0.0
29244,1998-06-30,서울특별시 광진구 아차산로78길 176 (광장동),,이성모터스,,209485.0198,449510.7308,,5종,7.0,300.0,7.0,300.0
29245,1998-08-20,서울특별시 광진구 동일로 425 (중곡동),,성진자동차공업사,자동차 전문 수리업,206861.3717,451779.8231,자동차 전문 수리업,5종,4.0,300.0,4.0,300.0
29825,2021-12-20,서울특별시 광진구 아차산로78길 90 (광장동),4969,광진구시설관리공단(광진정보도서관),,209704.1525,449873.8728,,5종,13.0,300.0,,0.0
30694,2015-12-02,서울특별시 광진구 광나루로56길 85 (구의동),,강변테크노마트주식회사,,208394.4164,448165.28,,4종,12.0,363.0,,0.0
30810,2015-09-18,"서울특별시 광진구 아차산로 262 (자양동, 더샵스타시티)",5065,건국AMC,부동산 임대 및 공급업,206349.675,448396.9397,부동산 임대 및 공급업,4종,18.0,340.0,,0.0
32557,2015-09-11,"서울특별시 광진구 워커힐로 177 (광장동, 워커힐호텔)",4963,SK네트웍스(주) 워커힐,호텔업,209672.3456,450590.3878,호텔업,4종,24.0,365.0,,0.0
33722,1999-07-07,서울특별시 광진구 자양번영로 3 (자양동),,(주)신흥기업,,206484.035,447539.8215,,5종,0.0,0.0,0.0,0.0
33723,1999-05-27,서울특별시 광진구 용마산로 134 (중곡동),143-883,동도자동차(주),택시 운송업,207616.3133,451473.1853,택시 운송업,5종,0.0,0.0,0.0,0.0
33735,1999-06-11,서울특별시 광진구 면목로 93 (중곡동),143-904,동인상운(주),택시 운송업,206904.7706,451097.5266,택시 운송업,5종,0.0,0.0,0.0,0.0
33960,2022-12-08,"서울특별시 광진구 아차산로 552 (광장동, 광장극동아파트)",4971,극동2차아파트 입주자대표회의,,209138.0473,448993.9254,,4종,3.0,365.0,3.0,365.0
33974,2023-01-03,서울특별시 광진구 아차산로 636 (광장동),4969,(주)파라다이스 한울지점,부동산 임대업,209531.5729,449654.8934,부동산 임대업,5종,15.0,200.0,15.0,200.0
34166,2022-11-18,"서울특별시 광진구 아차산로 635, 워커힐아파트 (광장동)",4964,워커힐아파트입주자대표회의,부동산 임대업,209345.9418,449811.7182,부동산 임대업,3종,19.0,365.0,19.0,365.0
34431,2021-06-17,서울특별시 광진구 천호대로 831 (광장동),4970,광진구청 다목적공공복합시설,폐기물 처리업,209370.663,449249.0321,폐기물 처리업,5종,8.0,300.0,8.0,300.0
