"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수"
"3040000","304000021198500002","20050627","","04","취소/말소/만료/정지/중지","4","폐쇄","20050627","","","","02  463 7529","","","서울특별시 광진구 중곡동 241-16 ","서울특별시 광진구 긴고랑로 41-1 (중곡동)","","광진식품","2020-10-14 15:24:17","I","2020-10-16 00:23:10.0","","207092.907372024    ","451192.997824503    ","대기배출업소관리","","5종","","7","360","7","360"
"3040000","304000021198700003","19870925","","03","폐업","2","폐업","20021226","","","","02  463 0978","","","서울특별시 광진구 자양동 17-5 ","서울특별시 광진구 아차산로 192 (자양동)","","오리엔트텔레콤","2020-10-14 15:52:48","I","2020-10-16 00:23:10.0","","205658.357256426    ","448806.789813369    ","대기배출업소관리","","5종","","0","0","0","0"
"3040000","304000021199300001","19930115","","04","취소/말소/만료/정지/중지","4","폐쇄","20040723","","","","02  452 9071","","","서울특별시 광진구 자양동 491-5 ","서울특별시 광진구 뚝섬로36길 67 (자양동)","","이화우수인쇄공업(주)","2020-10-14 15:54:22","I","2020-10-16 00:23:10.0","","206113.162317       ","447719.605601989    ","대기배출업소관리","","5종","","0","0","0","0"
"3040000","304000021199800006","19980629","","03","폐업","2","폐업","20200221","","","","02  454 8433","","","서울특별시 광진구 자양동 601-10 ","서울특별시 광진구 자양번영로 24 (자양동)","","한미자동차공업사","2020-10-14 15:31:51","U","2020-10-16 02:40:00.0","","206605.06039939     ","447733.225354292    ","대기배출업소관리","","5종","","6","300","6","300"
"3040000","304000021199800007","19980630","","01","영업/정상","11","영업","","","","","024535662","","","서울특별시 광진구 광장동 323-7","서울특별시 광진구 아차산로78길 176 (광장동)","","이성모터스","2022-10-25 10:04:19","U","2021-10-30 22:07:00.0","","209485.019781316","449510.73079128","","","","","","","",""
"3040000","304000021199800008","19980814","","04","취소/말소/만료/정지/중지","4","폐쇄","20140808","","","","","","","서울특별시 광진구 자양동 17-14 ","서울특별시 광진구 아차산로 200 (자양동)","143846","대한상운-주","2016-09-09 14:07:31","I","2021-08-20 00:22:50.0","","205714.564413029    ","448787.713915081    ","대기배출업소관리","","5종","","0","0","0","0"
"3040000","304000021199800009","19980820","","01","영업/정상","11","영업","","","","","02-498-7705","","","서울특별시 광진구 중곡동 186-12 ","서울특별시 광진구 동일로 425 (중곡동)","","성진자동차공업사","2021-12-30 15:37:24","U","2022-01-01 02:40:00.0","자동차 전문 수리업","206861.371738848    ","451779.823143905    ","대기배출업소관리","자동차 전문 수리업","5종","","4","300","4","300"
"3040000","304000021199800010","19981014","","04","취소/말소/만료/정지/중지","4","폐쇄","20040220","","","","","","","서울특별시 광진구 구의동 219-19 ","서울특별시 광진구 아차산로 441 (구의동)","","개미카토탈샵","2020-10-14 15:24:49","I","2020-10-16 00:23:10.0","","208011.391110433    ","448515.460667621    ","대기배출업소관리","","5종","","0","0","0","0"
"3040000","304000021199800011","19981121","","03","폐업","2","폐업","20060911","","","","","","","서울특별시 광진구 광장동 577 광장현대파크빌 ","서울특별시 광진구 아차산로 549 (광장동, 광장현대파크빌)","04983","한국화이자제약(주)","2020-10-14 15:31:07","I","2020-10-16 00:23:10.0","","208902.730986087    ","449103.205201495    ","대기배출업소관리","","5종","","8","240","8","240"
"3040000","304000021199900012","19990527","","01","영업/정상","11","영업","","","","","02-2298-7141","","","서울특별시 광진구 중곡동 18-56 ","서울특별시 광진구 용마산로 134 (중곡동)","143883","동도자동차(주)","2015-03-27 12:47:23","I","2021-08-20 00:22:50.0","택시 운송업","207616.313297739    ","451473.185333626    ","대기배출업소관리","택시 운송업","5종","","0","0","0","0"
