,사용년월,표준버스정류장ID,버스정류장ARS번호,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,행정동,역명
0,1,101000252,5118,3944.137931034483,0.0,0.0,0.0,11022.814814814814,28014.0,49520.41379310345,90511.44827586206,139034.4827586207,110083.79310344828,105027.03448275862,87525.10344827587,85960.13793103448,90179.79310344828,87192.75862068965,80486.31034482758,73242.62068965517,81659.31034482758,76253.96551724138,59609.1724137931,41410.24137931035,42444.206896551725,20603.241379310344,9849.4,중곡2동,신성시장앞
1,2,101000252,5118,2703.0000000000005,0.0,0.0,0.0,11004.166666666666,28241.6,45374.81481481481,80651.85185185185,122130.22222222222,112205.92592592593,86460.0,81985.77777777778,88384.0,87843.4074074074,81351.66666666667,79510.55555555556,69060.0,70571.66666666667,76512.07407407407,59903.51851851852,40178.148148148146,36353.333333333336,23193.0,9068.076923076922,중곡2동,신성시장앞
2,3,101000252,5118,3681.083333333333,0.0,0.0,0.0,11337.857142857143,22246.875,45360.0,89475.16666666666,109932.2,93269.34782608696,66606.96,67851.63636363637,60795.818181818184,63179.130434782615,51404.95238095238,56031.38095238095,56242.63636363637,52605.09090909091,62490.954545454544,49755.0,32210.666666666668,24723.359999999997,18744.36,8492.166666666668,중곡2동,신성시장앞
3,4,101000252,5118,5429.6,0.0,0.0,0.0,11256.428571428572,23607.0,55623.5,105245.0,130018.26923076923,104286.80769230769,86464.0,65761.84615384616,63050.0,64217.99999999999,50007.125,48412.5,49254.545454545456,49246.52173913044,50751.13043478261,44904.52173913044,37905.5,28352.68,20732.884615384617,10330.56,중곡2동,신성시장앞
4,5,101000252,5118,2350.6363636363635,0.0,0.0,0.0,5432.5,11010.47619047619,25561.90476190476,53395.04761904762,65929.45454545454,46326.72727272728,38958.545454545456,27912.521739130436,34353.5,33359.318181818184,23851.0,23066.59090909091,26416.090909090908,25811.318181818184,26384.454545454548,21789.181818181816,21223.583333333332,13381.333333333334,9138.260869565216,3998.590909090909,중곡2동,신성시장앞
5,6,101000252,5118,1642.3448275862067,0.0,0.0,0.0,4336.615384615385,9215.655172413793,19855.814814814814,38863.551724137935,48462.31034482758,40157.6,35895.17241379311,31299.899999999998,34675.2,45795.0,37488.82758620689,27581.689655172413,34677.93103448276,29978.103448275862,29882.48275862069,23652.172413793105,18100.172413793105,12025.51724137931,9877.344827586207,4093.51724137931,중곡2동,신성시장앞
6,7,101000252,5118,2263.483870967742,0.0,0.0,0.0,6510.678571428572,16875.2,29507.5,74351.6129032258,68772.3870967742,53525.41935483871,45411.67741935484,63490.53333333333,95293.5,45504.68965517241,48675.799999999996,37505.0,51211.6129032258,76230.0,83943.2258064516,33048.967741935485,23766.77419354839,20544.129032258064,12278.451612903225,5991.129032258064,중곡2동,신성시장앞
7,8,101000252,5118,1703.16,0.0,0.0,0.0,3366.4,9474.24,9372.439999999999,36222.307692307695,29310.0,29790.399999999998,24360.0,20310.107142857145,20168.076923076922,26635.769230769234,25493.928571428572,30240.576923076922,22224.64,22761.640000000003,17571.2,15785.538461538461,8332.961538461537,8718.0,6161.428571428572,2543.5555555555557,중곡2동,신성시장앞
8,9,101000252,5118,1009.0666666666667,11.842105263157894,0.0,0.0,2096.7692307692305,5648.400000000001,8960.2,22734.0,25426.896551724138,22787.06896551724,15853.793103448275,15050.068965517243,16104.366666666667,18632.892857142855,34583.066666666666,24243.862068965518,14683.448275862069,16490.48275862069,15547.551724137931,18179.333333333332,13105.466666666667,8757.0,8078.4,2918.8333333333335,중곡2동,신성시장앞
9,10,101000252,5118,1856.0967741935483,0.0,0.0,0.0,4147.448275862069,10141.612903225807,19940.0,41371.799999999996,50162.51612903226,43798.77419354839,32487.655172413793,31645.5,29422.129032258064,32583.724137931036,27856.551724137928,23670.833333333332,25281.67741935484,27360.0,38458.45161290323,26163.5,19288.066666666666,16284.0,12247.129032258064,4577.612903225806,중곡2동,신성시장앞
