楷飞,堡柳备,吝邦力1悼,吝邦力2悼,吝邦力3悼,吝邦力4悼,瓷悼,备狼力1悼,备狼力2悼,备狼力3悼,堡厘悼,磊剧力1悼,磊剧力2悼,磊剧力3悼,磊剧力4悼,拳剧悼,焙磊悼,单捞磐扁霖老磊
0技,1198,56,67,61,83,53,83,76,148,89,66,122,143,58,35,58,2023-01-01
1技,1334,67,68,70,112,46,87,127,147,113,54,110,187,57,27,62,2023-01-01
2技,1270,57,60,65,106,53,70,110,137,142,57,110,163,56,26,58,2023-01-01
3技,1483,63,82,61,100,49,84,141,154,169,76,136,198,73,27,70,2023-01-01
4技,1479,54,97,60,113,47,112,143,160,183,65,128,165,64,28,60,2023-01-01
5技,1611,58,84,66,124,44,96,149,171,240,72,113,217,74,30,73,2023-01-01
6技,1826,56,109,55,105,52,85,164,169,360,95,157,241,60,36,82,2023-01-01
7技,2082,69,125,83,139,51,113,194,194,421,93,144,263,67,39,87,2023-01-01
8技,2023,60,109,71,125,39,101,171,203,406,100,172,255,74,42,95,2023-01-01
9技,2141,71,114,58,140,56,97,206,189,535,111,163,230,63,41,67,2023-01-01
10技,2320,68,137,95,149,41,99,200,227,539,120,181,248,66,41,109,2023-01-01
11技,2270,80,139,77,147,55,79,199,199,544,128,162,255,74,47,85,2023-01-01
12技,2324,64,117,63,147,56,119,191,221,565,140,173,256,61,46,105,2023-01-01
13技,2219,42,112,76,173,41,103,214,214,560,108,158,211,71,51,85,2023-01-01
14技,2378,70,120,88,141,59,117,195,252,615,130,161,231,71,47,81,2023-01-01
15技,2588,70,139,89,188,44,113,268,248,645,153,163,247,79,48,94,2023-01-01
16技,2477,63,124,74,189,50,132,212,241,543,174,195,267,77,56,80,2023-01-01
17技,2310,57,137,86,163,38,128,235,249,474,139,163,229,81,41,90,2023-01-01
18技,2543,81,117,109,205,42,144,259,241,483,159,171,265,93,78,96,2023-01-01
19技,3040,85,156,113,253,80,191,248,286,437,180,208,276,116,257,154,2023-01-01
20技,3089,99,142,93,243,72,185,234,279,390,171,207,267,134,403,170,2023-01-01
21技,3873,137,216,150,285,120,256,275,310,410,223,218,295,164,605,209,2023-01-01
22技,5128,206,249,196,342,138,390,329,391,476,291,292,356,201,931,340,2023-01-01
23技,5551,221,286,219,364,172,413,304,366,392,368,290,377,244,1153,382,2023-01-01
24技,6349,280,340,253,399,230,525,329,441,440,379,314,356,279,1300,484,2023-01-01
25技,6739,303,361,246,439,253,525,404,507,377,441,362,357,332,1305,527,2023-01-01
26技,7212,368,424,304,472,282,584,349,452,372,538,387,432,383,1319,546,2023-01-01
27技,7393,403,451,333,483,317,663,403,513,369,508,383,362,398,1237,570,2023-01-01
28技,7616,405,498,331,548,345,700,422,512,366,490,474,389,422,1120,594,2023-01-01
29技,7270,435,497,353,512,345,658,388,539,315,546,395,390,391,1002,504,2023-01-01
30技,7265,399,550,340,534,340,640,442,489,312,558,455,384,398,886,538,2023-01-01
31技,6733,342,480,361,460,339,615,424,513,333,488,417,369,349,774,469,2023-01-01
32技,5886,352,399,285,410,315,546,368,449,254,419,349,385,332,602,421,2023-01-01
33技,5515,330,370,300,405,230,484,351,452,272,383,364,372,287,515,400,2023-01-01
34技,5292,313,381,273,412,251,451,315,461,299,358,382,378,283,388,347,2023-01-01
35技,4923,271,339,233,360,220,412,371,450,315,317,338,369,277,355,296,2023-01-01
36技,4733,240,342,246,350,200,369,346,409,332,306,336,367,281,323,286,2023-01-01
37技,4849,254,327,228,368,204,351,368,418,347,329,361,433,241,307,313,2023-01-01
38技,4568,225,281,227,398,183,397,314,423,388,277,316,378,245,250,266,2023-01-01
39技,4937,254,333,203,351,200,382,395,393,493,320,363,433,241,285,291,2023-01-01
40技,5249,254,348,242,382,227,354,433,392,560,349,390,462,281,249,326,2023-01-01
41技,5193,213,346,213,370,189,360,455,401,635,343,367,485,275,250,291,2023-01-01
42技,5104,207,301,199,384,175,382,408,446,685,313,379,451,252,236,286,2023-01-01
43技,5025,211,285,225,334,172,320,429,424,749,300,409,468,234,220,245,2023-01-01
44技,4204,174,235,174,330,137,289,342,365,613,275,324,370,179,186,211,2023-01-01
45技,4801,188,274,195,363,143,311,415,441,764,311,339,445,191,196,225,2023-01-01
46技,4566,155,216,220,366,130,291,380,381,767,323,331,407,205,157,237,2023-01-01
47技,4767,186,288,202,391,154,317,427,426,698,304,382,385,200,192,215,2023-01-01
48技,5040,184,289,222,408,143,301,409,420,821,332,396,406,250,200,259,2023-01-01
49技,5289,178,312,253,432,152,366,466,517,760,339,369,450,241,209,245,2023-01-01
50技,5483,233,361,269,450,138,375,448,476,789,340,365,511,284,200,244,2023-01-01
51技,5820,268,325,259,513,195,361,493,536,790,349,392,533,302,243,261,2023-01-01
52技,5651,232,330,281,527,139,390,477,515,736,363,426,477,273,221,264,2023-01-01
53技,5587,270,322,274,547,156,359,479,512,652,341,404,505,261,210,295,2023-01-01
54技,5615,264,330,309,547,141,359,479,472,631,393,418,459,303,220,290,2023-01-01
55技,5329,214,378,284,545,147,342,450,480,517,383,380,462,295,202,250,2023-01-01
56技,4893,233,343,244,526,133,313,405,439,438,301,388,408,259,203,260,2023-01-01
57技,5116,233,343,292,519,138,322,465,436,484,329,395,425,301,184,250,2023-01-01
58技,4997,236,352,264,527,114,312,412,406,476,308,387,466,289,161,287,2023-01-01
59技,4773,196,323,267,464,117,309,375,415,428,324,384,421,311,177,262,2023-01-01
60技,5136,239,363,280,510,149,344,431,451,391,347,397,428,318,180,308,2023-01-01
61技,5239,288,366,287,538,138,343,416,441,385,352,431,428,348,185,293,2023-01-01
62技,5312,237,365,315,603,158,317,417,422,396,341,432,455,348,192,314,2023-01-01
63技,4991,247,382,289,555,146,331,403,400,361,348,401,405,319,156,248,2023-01-01
64技,4662,212,333,255,456,129,308,394,412,341,303,371,378,341,173,256,2023-01-01
65技,4555,218,278,241,473,131,279,371,381,352,309,383,392,322,150,275,2023-01-01
66技,4017,222,230,219,410,119,230,358,342,287,240,342,355,269,161,233,2023-01-01
67技,4258,198,280,233,421,138,243,364,333,333,281,359,384,286,175,230,2023-01-01
68技,3454,170,222,172,350,108,206,260,295,234,232,306,290,239,175,195,2023-01-01
69技,3067,158,198,148,326,85,179,258,255,236,187,255,245,231,133,173,2023-01-01
70技,3412,138,249,188,356,90,192,277,270,234,235,325,254,251,145,208,2023-01-01
71技,2194,106,135,125,235,56,129,200,195,158,158,160,175,165,92,105,2023-01-01
72技,2481,136,170,131,254,80,158,228,180,179,154,186,205,174,101,145,2023-01-01
73技,2360,98,173,155,232,81,169,190,201,148,156,166,174,184,111,122,2023-01-01
74技,2557,127,176,142,274,90,183,222,190,149,181,184,194,175,105,165,2023-01-01
75技,2532,134,158,143,275,93,138,232,203,136,173,201,173,204,108,161,2023-01-01
76技,1981,108,128,119,200,58,142,177,150,141,125,135,138,142,103,115,2023-01-01
77技,1726,87,118,99,189,47,110,148,138,107,132,132,141,105,73,100,2023-01-01
78技,1760,100,116,115,173,62,99,140,133,124,113,148,124,109,81,123,2023-01-01
79技,1715,90,101,97,179,47,119,123,142,117,128,137,121,107,82,125,2023-01-01
80技,1901,78,125,101,199,72,115,178,138,131,140,124,148,152,95,105,2023-01-01
81技,1570,89,106,82,155,54,98,115,120,120,123,107,116,111,69,105,2023-01-01
82技,1298,59,70,81,104,51,95,106,105,101,101,76,118,100,48,83,2023-01-01
83技,1258,76,73,65,122,53,78,95,97,107,83,95,98,93,54,69,2023-01-01
84技,1084,50,64,65,98,37,62,93,101,99,69,78,97,47,65,59,2023-01-01
85技,877,35,47,49,77,22,69,66,60,94,62,63,93,42,46,52,2023-01-01
86技,741,25,47,37,65,20,42,66,63,78,57,42,59,55,34,51,2023-01-01
87技,660,22,31,34,54,16,36,60,60,67,43,36,84,51,29,37,2023-01-01
88技,534,18,22,16,50,11,28,49,52,50,32,37,72,42,20,35,2023-01-01
89技,402,23,17,21,37,9,29,33,41,40,20,23,57,21,11,20,2023-01-01
90技,329,16,18,10,21,11,22,20,26,44,22,25,41,12,18,23,2023-01-01
91技,242,11,7,16,17,8,19,21,22,24,15,20,30,18,8,6,2023-01-01
92技,183,7,8,8,15,7,9,9,16,28,15,8,25,11,10,7,2023-01-01
93技,171,7,12,5,14,3,10,8,23,19,16,9,19,13,6,7,2023-01-01
94技,124,4,8,5,10,4,7,5,14,14,9,14,12,5,10,3,2023-01-01
95技,103,3,9,8,12,2,3,8,5,13,4,4,12,7,6,7,2023-01-01
96技,51,3,4,2,4,0,5,6,3,6,2,4,4,2,2,4,2023-01-01
97技,44,1,3,3,1,1,3,3,6,6,2,3,5,1,4,2,2023-01-01
98技,35,0,2,0,3,0,2,5,3,2,0,6,5,1,1,5,2023-01-01
99技,19,2,4,1,1,1,1,3,0,0,1,1,2,1,0,1,2023-01-01
100技,18,0,0,0,2,0,0,2,1,6,1,0,4,0,0,2,2023-01-01
101技,6,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,2023-01-01
102技,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2023-01-01
103技,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2023-01-01
104技,5,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2023-01-01
105技,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-01-01
106技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
107技,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-01-01
108技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
109技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
110技 捞惑,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2023-01-01
