,X_AXIS,Y_AXIS,명칭,geometry,index_right,sgg_oid,jibun,bchk,pnu,col_adm_se
71,318763,551943,경하유치원,POINT (127.07821522839761 37.56614968476775),13748,75103,190-28대,1,1121510100101900028,11215
72,320528,549083,광남유치원,POINT (127.09850248543106 37.54053602117206),16474,128513,484 대,1,1121510400104840000,11215
73,319510,551607,금빛유치원,POINT (127.08670708823918 37.563188057894926),15198,76340,24-3대,1,1121510100100240003,11215
74,319360,549442,동인유치원,POINT (127.08524746402567 37.54366901893452),15883,86919,236-1종,1,1121510300102360001,11215
75,319444,552389,미파유치원,POINT (127.0858741270855 37.57022782517354),24677,73331,608-6대,1,1121510100106080006,11215
76,319933,549304,샬롬유치원,POINT (127.09174611658796 37.54247565454459),11367,87525,208-6종,1,1121510300102080006,11215
77,318928,549346,서울구의초등학교병설유치원,POINT (127.08036993030827 37.542766179845714),5278,223601,303-9학,1,1121510700103030009,11215
78,318487,547942,서울신자초등학교병설유치원,POINT (127.0755359596423 37.5300777064675),10645,96414,591학,1,1121510500105910000,11215
79,319742,548003,서울양남초등학교병설유치원,POINT (127.08972723296657 37.53073742131821),1461,95880,692학,1,1121510500106920000,11215
80,318848,548684,서울자양초등학교병설유치원,POINT (127.07953794478597 37.53679473798278),2079,92287,222-6학,1,1121510500102220006,11215
81,319723,548255,선경유치원,POINT (127.08948472267743 37.533006212187686),32219,94243,694-1학,1,1121510500106940001,11215
82,318296,550847,선미유치원,POINT (127.07305164556814 37.55623381697939),12117,103006,182-2대,1,1121510900101820002,11215
83,318128,550637,선양유치원,POINT (127.07117383665953 37.554326876631244),14652,103647,127-1대,1,1121510900101270001,11215
84,319551,550184,선화유치원,POINT (127.0873272782363 37.550370895212865),11053,83900,25학,1,1121510200100250000,11215
85,319254,548247,성산유치원,POINT (127.08417954981324 37.53289316713025),24420,106595,658-1 종,1,1121510500106580001,11215
86,317333,548652,성수아름유치원,POINT (127.06240074779598 37.53637177968987),3320,98521,52-1대,1,1121510500100520001,11215
87,320021,550369,슬기유치원,POINT (127.09262570929386 37.55207861531128),20984,84634,31-18대,1,1121510300100310018,11215
88,318963,551948,아이조아유치원,POINT (127.08047838281345 37.56621235966835),13711,75095,191-79대,1,1121510100101910079,11215
89,320466,550584,영화유치원,POINT (127.09763821409462 37.554054232436364),9630,84144,18대,1,1121510300100180000,11215
90,319157,551066,예일유치원,POINT (127.08277146486255 37.55828291360205),32366,80276,141-12대,1,1121510100101410012,11215
91,318491,548420,우성유치원,POINT (127.07552813452558 37.53438468153377),22649,93576,579대,1,1121510500105790000,11215
92,317575,549356,윤진유치원,POINT (127.06505965331836 37.542736234475676),20000,101494,42-21대,1,1121510700100420021,11215
93,317858,548362,인애유치원,POINT (127.06837304992338 37.53380592464895),25713,93998,553-339대,1,1121510500105530339,11215
94,319214,548060,자양유치원,POINT (127.0837475893205 37.53120485020727),10575,95785,662-5대,1,1121510500106620005,11215
95,318766,548909,자양하나유치원,POINT (127.07858528213684 37.538814688797615),2118,91665,225-85대,1,1121510500102250085,11215
96,320334,549302,청구이화유치원,POINT (127.09628365060932 37.54249239436513),4754,91320,566대,1,1121510400105660000,11215
97,320431,548739,프라임유치원,POINT (127.09744225969806 37.53742830888453),3511,89247,631-1대,1,1121510300106310001,11215
98,318147,548604,한일유치원,POINT (127.07161569679613 37.536011971543296),23944,92482,516대,1,1121510500105160000,11215
99,319686,549528,현정유치원,POINT (127.08892679192935 37.544472326861516),25659,86598,230-12대,1,1121510300102300012,11215
100,320334,550677,경원유치원,POINT (127.09613429711763 37.554880724671506),20510,84037,16-10대,1,1121510300100160010,11215
101,321131,549953,광장유치원,POINT (127.10523173584603 37.54842629096263),21165,90613,272-2 종,1,1121510400102720002,11215
102,319018,552412,동서울유치원,POINT (127.08104962158139 37.57039766619548),2381,73264,578-9대,1,1121510100105780009,11215
103,318250,550307,동심유치원,POINT (127.07259126612671 37.55136453606255),28631,104270,99대,1,1121510900100990000,11215
104,318694,551077,삼원유치원,POINT (127.07753031421763 37.558341256587504),8057,80180,639-3대,1,1121510100106390003,11215
105,318687,549818,어린이회관유치원,POINT (127.07759069810142 37.54699749961134),32471,83921,18-11대,1,1121510200100180011,11215
106,317528,548752,정신,POINT (127.06459573698555 37.53729021349878),29158,98342,843-11대,1,1121510500108430011,11215
107,319374,552203,한국중앙유치원,POINT (127.08510225269696 37.56854590425243),3669,73996,169-8대,1,1121510100101690008,11215
108,319998,550333,한마음미술학원,POINT (127.0923693584248 37.55175226937125),15424,84711,48-8대,1,1121510300100480008,11215
